003, 1
098, 5
144, 0
018, 1
153, 0
016, 1
103, 4
141, 0
042, 2
010, 1
132, 3
146, 0
044, 2
115, 4
006, 1
129, 3
022, 1
071, 2
133, 3
062, 2
037, 1
051, 2
060, 2
036, 1
101, 4
064, 2
082, 5
029, 1
157, 0
095, 5
025, 1
105, 4
030, 1
091, 5
063, 2
057, 2
023, 1
079, 2
143, 0
055, 2
069, 2
015, 1
047, 2
009, 1
099, 5
031, 1
035, 1
121, 3
033, 1
113, 4
128, 3
109, 4
038, 1
007, 1
059, 2
142, 0
012, 1
084, 5
008, 1
123, 3
148, 0
139, 3
002, 1
052, 2
000, 1
125, 3
040, 2
054, 2
072, 2
114, 4
124, 3
106, 4
046, 2
061, 2
005, 1
110, 4
067, 2
120, 3
137, 3
081, 5
050, 2
117, 4
145, 0
019, 1
149, 0
094, 5
070, 2
108, 4
077, 2
131, 3
017, 1
058, 2
135, 3
028, 1
090, 5
073, 2
004, 1
100, 4
155, 0
093, 5
049, 2
078, 2
080, 5
151, 0
119, 4
068, 2
088, 5
039, 1
140, 0
116, 4
085, 5
112, 4
126, 3
130, 3
065, 2
083, 5
034, 1
134, 3
014, 1
118, 4
097, 5
013, 1
156, 0
087, 5
048, 2
066, 2
